insurance_id,payer_name,payer_type
INS-NOREG12,Robbins Ltd,Insurance
INS-GBO7IU,Lee and Sons,Government
INS-WQUU8Z,Day Group,Insurance
INS-AMNTZH,Henson Group,Insurance
INS-3060GB,Chang Inc,Government
INS-B8H4CB,Walsh-Thomas,Insurance
INS-NOREG13,"Smith, Cole and Rodgers",Government
INS-ED7K4G,Flores-Allen,Insurance
INS-P56GL8,"Andrade, Gilbert and Cook",Insurance
INS-U2F1S5,Robbins Ltd,Government
INS-8TQ28R,"Sanchez, Shaffer and Watson",Insurance
INS-PZZWTZ,,Insurance
INS-8OC6TA,"Richard, Floyd and Villanueva",Insurance
INS-17ORZO,,Government
INS-NOREG14,Henson Group,Government
INS-PI0FSJ,,Insurance
INS-EJ45ZG,"Johnson, Mcintyre and Garrett",Insurance
INS-7HVQZP,Day Group,Government
INS-FH1DM1,Lee and Sons,Insurance
INS-13370M,Flores-Allen,Government
INS-N89DOH,"Anderson, Oconnell and Yates",Insurance
INS-Q7FRIY,Martinez-Burnett,Government
INS-GXKCZA,Brooks-Johnson,Government
INS-0LTYZG,Peterson-Williams,Insurance
INS-NHMJWU,Fowler-Smith,Insurance
INS-L8J96Z,Merritt-Flynn,Government
INS-GPSCLP,Shaw-Jacobs,Government
INS-NMT4GJ,,Insurance
INS-1IBSKC,"Richard, Floyd and Villanueva",Government
INS-YJ6G8Z,Fowler-Smith,Insurance
INS-Y2FOM6,Lee and Sons,Government
INS-V3DDLJ,Peterson-Williams,Government
INS-IRDWEM,"Lopez, Johnson and Myers",Government
INS-FERA81,,Government
INS-HO2WXN,Chang Inc,Insurance
INS-CK7U9G,Walsh-Thomas,Government
INS-NOREG15,Walker-Bates,Government
INS-NOREG16,Jackson-Hubbard,Government
INS-FTQY2G,Henson Group,Insurance
INS-YIL3Y4,Walsh-Thomas,Government
INS-71Q2RV,"Thomas, Blake and Harding",Government
INS-EUBC5J,,Government
INS-NOREG17,Peterson-Williams,Insurance
INS-6Q28UV,"Smith, Cole and Rodgers",Government
INS-ZKJ9EO,Chang Inc,Government
INS-7EAVBI,"Thomas, Blake and Harding",Government
INS-53E8X8,"Andrade, Gilbert and Cook",Insurance
INS-KRRX2T,Wood Inc,Insurance
INS-REBJVY,Shaw-Jacobs,Insurance
INS-HRH1OC,Walsh-Thomas,Government
INS-FAZLO6,Martinez-Burnett,Insurance
INS-RC2ALF,"Lopez, Johnson and Myers",Insurance
INS-MT56V8,Wood Inc,Government
INS-NOREG18,,Self-pay
INS-NOREG19,Martinez-Burnett,Insurance
INS-IH4G51,"Anderson, Oconnell and Yates",Insurance
INS-NOREG20,,Self-pay
INS-B4BAUE,Jackson-Hubbard,Insurance
INS-FG6WB5,"Andrade, Gilbert and Cook",Government
INS-VFQKR2,Flores-Allen,Government
INS-4NFY10,Flores-Allen,Insurance
INS-8M0ADZ,Walsh-Thomas,Insurance
INS-1C78YW,Henson Group,Insurance
INS-NOREG21,Jackson-Hubbard,Insurance
INS-NOREG22,Jackson-Hubbard,Government
INS-YG16ZN,Lee and Sons,Insurance
INS-ILEHK2,"Smith, Cole and Rodgers",Government
INS-MWYTYK,"Richard, Floyd and Villanueva",Government
INS-ZKA6HJ,Day Group,Government
INS-ZW9JIA,Shaw-Jacobs,Government
INS-NOREG23,Robbins Ltd,Government
INS-RNZNOR,"Richard, Floyd and Villanueva",Insurance
INS-6SO4VY,"Richard, Floyd and Villanueva",Government
INS-Q0PJ8U,Peterson-Williams,Insurance
INS-HXC9Y3,Flores-Allen,Insurance
INS-LH757O,Wood Inc,Government
INS-IR34BH,"Lopez, Johnson and Myers",Government
INS-GVLB48,Robbins Ltd,Government
INS-EQECMA,Peterson-Williams,Government
INS-FEQFQ1,Fowler-Smith,Government
INS-48XFQN,Shaw-Jacobs,Government
INS-NOREG24,,Self-pay
INS-VSL3FH,Day Group,Insurance
INS-05KYD6,Fowler-Smith,Insurance
INS-WVQUAO,"Anderson, Oconnell and Yates",Insurance
INS-SQ31KL,Robbins Ltd,Government
INS-H4M7UQ,"Thomas, Blake and Harding",Insurance
INS-JZ9F89,Walsh-Thomas,Insurance
INS-HYN5XV,Martinez-Burnett,Government
INS-3VJWON,Jackson-Hubbard,Government
INS-GTZTD7,"Johnson, Mcintyre and Garrett",Insurance
INS-4MI6QW,"Thomas, Blake and Harding",Insurance
INS-HDD43O,"Johnson, Mcintyre and Garrett",Government
INS-DZR4I8,Day Group,Government
INS-X8GUGI,,Government
INS-ACN3A8,"Lopez, Johnson and Myers",Government
INS-4DYUJ4,Gonzalez Group,Government
INS-5ZESNO,Martinez-Burnett,Government
INS-ZAS0CF,Day Group,Government
INS-NJ9ZXT,"Sanchez, Shaffer and Watson",Insurance
INS-SZCUQC,Peterson-Williams,Insurance
INS-6657RE,Day Group,Government
INS-IAI0R2,"Richard, Floyd and Villanueva",Government
INS-SKNERQ,"Sanchez, Shaffer and Watson",Insurance
INS-55NWAX,Brooks-Johnson,Government
INS-HADWCI,Day Group,Insurance
INS-O41LEI,"Andrade, Gilbert and Cook",Government
INS-2Y5JMV,"Johnson, Mcintyre and Garrett",Insurance
INS-LJRUHL,"Johnson, Mcintyre and Garrett",Government
INS-RDYUJJ,Lee and Sons,Government
INS-90WBDZ,Day Group,Insurance
INS-5T9YBD,"Thomas, Blake and Harding",Government
INS-4O6EVH,"Andrade, Gilbert and Cook",Insurance
INS-NOREG25,"Smith, Cole and Rodgers",Government
INS-PIZT0J,Chang Inc,Insurance
INS-R2C1IE,Walsh-Thomas,Insurance
INS-JUNYIU,Brooks-Johnson,Insurance
INS-CURBLK,Fowler-Smith,Insurance
INS-4Z42R4,Walsh-Thomas,Government
INS-AQ5968,"Andrade, Gilbert and Cook",Government
INS-2XR0S6,"Sanchez, Shaffer and Watson",Insurance
INS-QPCO7P,"Richard, Floyd and Villanueva",Insurance
INS-V0UXIR,"Smith, Cole and Rodgers",Insurance
INS-MJY9KP,,Government
INS-BQTGOY,Wood Inc,Insurance
INS-RVLDC4,Flores-Allen,Insurance
INS-A63WYI,Chang Inc,Insurance
INS-NJ464U,Chang Inc,Government
INS-NOREG26,Walsh-Thomas,Insurance
INS-I8OHER,Merritt-Flynn,Government
INS-5UXEK7,"Anderson, Oconnell and Yates",Government
INS-2KLOLS,Peterson-Williams,Insurance
INS-ZKGVHW,Gonzalez Group,Government
INS-SGY0T5,Lee and Sons,Government
INS-NOREG27,,Self-pay
INS-NOREG28,Martinez-Burnett,Insurance
INS-9WTBQS,"Thomas, Blake and Harding",Insurance
INS-BWFU1V,"Richard, Floyd and Villanueva",Government
INS-3Z7O20,"Andrade, Gilbert and Cook",Government
INS-NI6GX4,Chang Inc,Insurance
INS-WQVWSS,Peterson-Williams,Government
INS-5MX5VG,Flores-Allen,Government
INS-N3BP55,Gonzalez Group,Government
INS-F0KZS0,Robbins Ltd,Insurance
INS-J0HGVB,Walsh-Thomas,Insurance
INS-XV87UT,Henson Group,Government
INS-01G54H,Chang Inc,Insurance
INS-APWL6Z,Chang Inc,Government
INS-V6ZVE0,Day Group,Government
INS-86HRDP,Lee and Sons,Government
INS-922VQQ,"Anderson, Oconnell and Yates",Government
INS-TBL5IS,Peterson-Williams,Government
INS-J57JDX,"Andrade, Gilbert and Cook",Insurance
INS-KRCNDI,Shaw-Jacobs,Government
INS-UFQKTM,"Richard, Floyd and Villanueva",Government
INS-0AZK0U,Merritt-Flynn,Insurance
INS-Y878G4,Merritt-Flynn,Government
INS-JTXOAN,Chang Inc,Government
INS-NOREG29,,Self-pay
INS-LNBBWB,"Smith, Cole and Rodgers",Insurance
INS-MMYMYY,Walker-Bates,Government
INS-X0UVDF,"Smith, Cole and Rodgers",Insurance
INS-AJIDJ5,,Government
INS-R93QS3,Gonzalez Group,Government
INS-W7N5Q5,Peterson-Williams,Government
INS-1KEJLY,Chang Inc,Government
INS-MGBQO0,Walsh-Thomas,Government
INS-HN6W20,Flores-Allen,Government
INS-YQSJQT,"Thomas, Blake and Harding",Insurance
INS-NOREG30,Wood Inc,Insurance
INS-NOREG31,"Lopez, Johnson and Myers",Government
INS-PTD1A3,"Lopez, Johnson and Myers",Government
INS-AYMFC3,Brooks-Johnson,Insurance
INS-F6ZSRM,Brooks-Johnson,Government
INS-NOREG32,"Thomas, Blake and Harding",Insurance
INS-I1R6ID,"Lopez, Johnson and Myers",Government
INS-0FSLPG,Shaw-Jacobs,Government
INS-QFQ760,Flores-Allen,Insurance
INS-F266VY,Merritt-Flynn,Government
INS-WMMIIL,Walsh-Thomas,Insurance
INS-JXW5US,"Johnson, Mcintyre and Garrett",Insurance
INS-GWC8DT,Day Group,Insurance
INS-NB7V7D,Flores-Allen,Insurance
INS-J33RNG,Martinez-Burnett,Government
INS-NOREG33,Robbins Ltd,Government
INS-78ENZM,Flores-Allen,Insurance
INS-4PX3TT,Walker-Bates,Government
INS-U9VL6V,,Government
INS-95AV55,Day Group,Insurance
INS-B7GWFY,"Thomas, Blake and Harding",Government
INS-NOREG34,Walker-Bates,Government
INS-JA9B61,Chang Inc,Government
INS-38RBIG,Merritt-Flynn,Government
INS-4VVRAK,,Government
INS-UOL7RF,Merritt-Flynn,Insurance
INS-CCC3JH,,Insurance
INS-12CSDN,Wood Inc,Insurance
INS-NOREG35,Day Group,Insurance
INS-CUR9WA,Walker-Bates,Government
INS-Z8MYT7,Chang Inc,Government
INS-E93O3V,Shaw-Jacobs,Government
INS-EW8Y9R,Henson Group,Insurance
INS-6YVRB4,Henson Group,Government
INS-NOREG36,Merritt-Flynn,Government
INS-AHEF3F,Chang Inc,Government
INS-7MM2VT,"Smith, Cole and Rodgers",Government
INS-5TJTJL,Walsh-Thomas,Insurance
INS-G2N4FC,"Lopez, Johnson and Myers",Insurance
INS-AKC7GU,Gonzalez Group,Insurance
INS-62PAW8,Chang Inc,Insurance
INS-OM7LZX,Gonzalez Group,Government
INS-NOREG37,,Self-pay
INS-F1WNMC,Henson Group,Government
INS-OZZJ0P,Flores-Allen,Government
INS-TXATKT,"Richard, Floyd and Villanueva",Insurance
INS-DQVIHA,Henson Group,Insurance
INS-TOEX4G,Day Group,Insurance
INS-NDBZHG,Day Group,Insurance
INS-GML769,"Johnson, Mcintyre and Garrett",Insurance
INS-AKDONP,Day Group,Insurance
INS-B7LZ36,Martinez-Burnett,Government
INS-NOREG38,Chang Inc,Insurance
INS-BCJOKH,,Government
INS-HS7QRN,Wood Inc,Government
INS-8Y4U8A,Wood Inc,Insurance
INS-8R6APJ,,Government
INS-RBU7G7,"Sanchez, Shaffer and Watson",Government
INS-G0EFTM,,Government
INS-QIS5RT,"Sanchez, Shaffer and Watson",Insurance
INS-NWC3HC,Chang Inc,Government
INS-K5GFMC,Henson Group,Insurance
INS-979W8P,Jackson-Hubbard,Government
INS-NQ3JQ4,"Johnson, Mcintyre and Garrett",Government
INS-PQYZXQ,Flores-Allen,Government
INS-IRU8CK,Peterson-Williams,Government
INS-RMATFF,Fowler-Smith,Insurance
INS-2S2L3Z,"Lopez, Johnson and Myers",Government
INS-NOREG39,,Self-pay
INS-KOYK17,"Smith, Cole and Rodgers",Government
INS-GJIV3R,Martinez-Burnett,Insurance
INS-EDMMK3,"Richard, Floyd and Villanueva",Insurance
INS-A1N5JO,"Richard, Floyd and Villanueva",Government
INS-0KK5VR,Gonzalez Group,Insurance
INS-NOREG40,Brooks-Johnson,Insurance
INS-M0KQD4,Jackson-Hubbard,Government
INS-VIF66Q,"Sanchez, Shaffer and Watson",Insurance
INS-ILNPTN,"Lopez, Johnson and Myers",Insurance
INS-XMG245,Flores-Allen,Government
INS-9OU9AU,Martinez-Burnett,Government
INS-CES39M,Shaw-Jacobs,Government
INS-5YO7AQ,Walker-Bates,Insurance
INS-8FBEHA,Flores-Allen,Insurance
INS-LSC6ZM,"Andrade, Gilbert and Cook",Insurance
INS-5O96E4,Brooks-Johnson,Government
INS-NOREG41,,Self-pay
INS-O8QHQL,Henson Group,Insurance
INS-KO0LS4,"Anderson, Oconnell and Yates",Insurance
INS-08KBTB,Robbins Ltd,Government
INS-XV224J,"Thomas, Blake and Harding",Government
INS-D60FER,"Andrade, Gilbert and Cook",Government
INS-NOREG42,,Self-pay
INS-LVEQ1G,"Sanchez, Shaffer and Watson",Insurance
INS-27J25W,Martinez-Burnett,Insurance
INS-4SAXGB,"Richard, Floyd and Villanueva",Government
INS-YJ8CB8,Walsh-Thomas,Insurance
INS-JEJI9A,Fowler-Smith,Insurance
INS-YDCT98,Robbins Ltd,Insurance
INS-PNQ9EA,Lee and Sons,Government
INS-NOREG43,Gonzalez Group,Government
INS-K01JC4,Martinez-Burnett,Government
INS-VN0IZZ,Merritt-Flynn,Government
INS-ZIYI41,Fowler-Smith,Government
INS-TZGS5M,Gonzalez Group,Insurance
INS-QE7Y2U,Day Group,Government
INS-ZRD8DV,"Anderson, Oconnell and Yates",Government
INS-AH99ZW,Day Group,Insurance
INS-Y8A6OD,Peterson-Williams,Insurance
INS-S9BJXJ,"Anderson, Oconnell and Yates",Insurance
INS-MH4MGH,"Johnson, Mcintyre and Garrett",Government
INS-QRR93T,Gonzalez Group,Insurance
INS-65WFEQ,"Anderson, Oconnell and Yates",Insurance
INS-R8SUON,"Johnson, Mcintyre and Garrett",Insurance
INS-SIM5IJ,Martinez-Burnett,Insurance
INS-OFME48,Lee and Sons,Insurance
INS-NOREG44,,Self-pay
INS-UYOJGP,Lee and Sons,Government
INS-9XWGMK,"Smith, Cole and Rodgers",Insurance
INS-J3QP9S,"Sanchez, Shaffer and Watson",Government
INS-M1U4MK,Jackson-Hubbard,Insurance
INS-NOREG45,,Self-pay
INS-2X8P55,Gonzalez Group,Government
INS-WN4NSW,Shaw-Jacobs,Government
INS-1N2POE,Gonzalez Group,Insurance
INS-AG02HB,"Anderson, Oconnell and Yates",Government
INS-KKABQV,"Johnson, Mcintyre and Garrett",Insurance
INS-8FBY2E,"Thomas, Blake and Harding",Government
INS-VCVJJJ,Gonzalez Group,Insurance
INS-H7ZQJ7,"Smith, Cole and Rodgers",Government
INS-4M5P0F,Wood Inc,Insurance
INS-NMJTG3,"Johnson, Mcintyre and Garrett",Insurance
INS-AJ7EWX,Brooks-Johnson,Government
INS-NR6CF4,Lee and Sons,Government
INS-IFA3F6,"Richard, Floyd and Villanueva",Insurance
INS-CJBEWV,,Insurance
INS-E9GWBO,Flores-Allen,Insurance
INS-0EP29O,"Thomas, Blake and Harding",Government
INS-UXFRUO,Wood Inc,Insurance
INS-G6OL6L,Fowler-Smith,Government
INS-IX5CZJ,Robbins Ltd,Government
INS-OANIUG,Flores-Allen,Insurance
INS-VV0I79,"Smith, Cole and Rodgers",Insurance
INS-Z1M04L,Walker-Bates,Insurance
INS-NOREG46,"Smith, Cole and Rodgers",Government
INS-U8TQ7P,Robbins Ltd,Insurance
INS-B4N8PD,"Sanchez, Shaffer and Watson",Government
INS-MQB20P,"Johnson, Mcintyre and Garrett",Government
INS-Q30HYX,Gonzalez Group,Government
INS-SH7XXI,,Government
INS-Q1TGLF,Day Group,Insurance
INS-JTNGX8,Walsh-Thomas,Government
INS-B4SJ5J,Henson Group,Government
INS-9UFA8O,Wood Inc,Insurance
INS-10EHMA,"Thomas, Blake and Harding",Government
INS-N4107X,Day Group,Insurance
INS-KHW5DW,"Andrade, Gilbert and Cook",Insurance
INS-0SWRGB,Peterson-Williams,Government
INS-1BFBHN,Peterson-Williams,Insurance
INS-G0V0JX,Robbins Ltd,Insurance
INS-BRG4BS,"Richard, Floyd and Villanueva",Government
INS-O9EWUA,Gonzalez Group,Government
INS-CG0YIT,Peterson-Williams,Insurance
INS-ZNGKXX,Gonzalez Group,Insurance
INS-KWYS1J,Gonzalez Group,Insurance
INS-K63LBY,Gonzalez Group,Insurance
INS-4BFFYY,Walker-Bates,Government
INS-ETKJXH,"Smith, Cole and Rodgers",Insurance
INS-7JE07S,Wood Inc,Government
INS-JMHFCJ,"Sanchez, Shaffer and Watson",Insurance
INS-NOREG47,,Self-pay
INS-RL6TTZ,Wood Inc,Insurance
INS-CM5TSZ,"Anderson, Oconnell and Yates",Government
INS-BCRTYY,"Smith, Cole and Rodgers",Insurance
INS-549838,Walker-Bates,Insurance
INS-5IFW0Z,Merritt-Flynn,Insurance
INS-31VZAT,Lee and Sons,Government
INS-NOREG48,Walker-Bates,Government
INS-S9VIYE,Martinez-Burnett,Insurance
INS-4EAFQW,Walsh-Thomas,Government
INS-N3LZ8S,Lee and Sons,Government
INS-WLVZ45,"Smith, Cole and Rodgers",Insurance
INS-NHECDL,"Richard, Floyd and Villanueva",Insurance
INS-SM9LJ0,Shaw-Jacobs,Insurance
INS-ZZEWEQ,"Smith, Cole and Rodgers",Insurance
INS-83S1DD,Wood Inc,Government
INS-GIJNCE,Henson Group,Insurance
INS-NOREG49,"Thomas, Blake and Harding",Government
INS-6AR1P5,"Johnson, Mcintyre and Garrett",Government
INS-ZWYENC,Lee and Sons,Insurance
INS-X0DDBS,Day Group,Insurance
INS-RTTCJ4,Merritt-Flynn,Insurance
INS-4W2PKO,Robbins Ltd,Government
INS-NOREG50,,Self-pay
INS-KXF06X,Flores-Allen,Insurance
INS-IMDBGO,Fowler-Smith,Insurance
INS-PMG6GH,"Sanchez, Shaffer and Watson",Insurance
INS-XSU0ET,Jackson-Hubbard,Government
INS-EQJBMG,Jackson-Hubbard,Government
INS-NOREG51,Walker-Bates,Government
INS-NOREG52,Day Group,Insurance
INS-IW2M4U,Walker-Bates,Government
INS-NOREG53,Gonzalez Group,Insurance
INS-QL517L,"Lopez, Johnson and Myers",Government
INS-FA7YQ4,,Government
INS-2SFXBI,Merritt-Flynn,Government
INS-RNUR5Q,"Thomas, Blake and Harding",Government
INS-8XTQAR,Flores-Allen,Government
INS-5V453D,"Sanchez, Shaffer and Watson",Insurance
INS-PBX3HH,Walker-Bates,Insurance
INS-LTVR01,Shaw-Jacobs,Insurance
INS-UPXYVZ,Walsh-Thomas,Insurance
INS-T9T0XM,Merritt-Flynn,Government
INS-WT7DLH,"Smith, Cole and Rodgers",Insurance
INS-NOREG54,"Richard, Floyd and Villanueva",Government
INS-7NMCS7,Chang Inc,Government
INS-9CKKOU,Martinez-Burnett,Government
INS-4UZV3M,Shaw-Jacobs,Insurance
INS-MZBDQJ,Lee and Sons,Government
INS-UF6X1R,Lee and Sons,Insurance
INS-XRU4K8,Brooks-Johnson,Insurance
INS-VE81BB,"Thomas, Blake and Harding",Government
INS-15GK6D,Brooks-Johnson,Insurance
INS-OYZ31R,Wood Inc,Government
INS-MT68LL,Walker-Bates,Government
INS-7Y8PC1,"Richard, Floyd and Villanueva",Insurance
INS-NOREG55,Brooks-Johnson,Insurance
INS-HS1D72,Martinez-Burnett,Insurance
INS-JCLAK1,"Andrade, Gilbert and Cook",Insurance
INS-PENRYD,Martinez-Burnett,Insurance
INS-G5TAVT,Brooks-Johnson,Government
INS-BCRPTZ,Peterson-Williams,Government
INS-RU62SW,Lee and Sons,Government
INS-2IKWXU,"Smith, Cole and Rodgers",Insurance
INS-NOREG56,,Self-pay
INS-5WUJYM,Shaw-Jacobs,Government
INS-CRZT9K,"Lopez, Johnson and Myers",Government
INS-7QV9DN,"Richard, Floyd and Villanueva",Government
INS-CGGWKB,Peterson-Williams,Government
INS-KW3UK1,Flores-Allen,Insurance
INS-0BWS7F,Day Group,Government
INS-JN5JDF,Martinez-Burnett,Insurance
INS-IUHQUW,"Andrade, Gilbert and Cook",Government
INS-UVT0JI,Gonzalez Group,Insurance
INS-RT62JI,Lee and Sons,Government
INS-ZMAR0R,Flores-Allen,Government
INS-YKF6VV,"Lopez, Johnson and Myers",Insurance
INS-53NZCF,Walsh-Thomas,Government
INS-OIJA1F,Peterson-Williams,Government
INS-NOREG57,"Sanchez, Shaffer and Watson",Insurance
INS-KF3DVP,Walsh-Thomas,Insurance
INS-URO3RE,Martinez-Burnett,Government
INS-NRCY1W,Robbins Ltd,Government
INS-KG5XTR,Lee and Sons,Government
INS-2OIC9K,Day Group,Government
INS-8SQ48V,Lee and Sons,Government
INS-X085F8,Walsh-Thomas,Government
INS-P0RJX2,Jackson-Hubbard,Government
INS-FS6DNJ,"Thomas, Blake and Harding",Insurance
INS-NOREG58,Walsh-Thomas,Government
INS-HRMP1R,Flores-Allen,Government
INS-R0Y1A5,Shaw-Jacobs,Government
INS-ZCSI26,Fowler-Smith,Insurance
INS-UY1F04,"Andrade, Gilbert and Cook",Government
INS-DZOECR,Wood Inc,Government
INS-IKMBZY,Wood Inc,Insurance
INS-GELAOS,"Thomas, Blake and Harding",Insurance
INS-MZGFXP,"Andrade, Gilbert and Cook",Government
INS-GQ4I3V,Peterson-Williams,Insurance
INS-5YO5CT,Brooks-Johnson,Insurance
INS-XWIKBG,Jackson-Hubbard,Insurance
INS-9INQEP,Lee and Sons,Government
INS-Z2DGHO,Fowler-Smith,Insurance
INS-HQTCQA,Peterson-Williams,Insurance
INS-V0XDPK,Jackson-Hubbard,Insurance
INS-4U9BKJ,Robbins Ltd,Government
INS-NOREG59,Merritt-Flynn,Insurance
INS-J183L8,Merritt-Flynn,Insurance
INS-8JDH85,"Thomas, Blake and Harding",Government
INS-LZJFTD,Chang Inc,Insurance
INS-67C6ON,Day Group,Insurance
INS-1M3MZG,"Richard, Floyd and Villanueva",Government
INS-RMD602,"Thomas, Blake and Harding",Insurance
INS-1EKR4I,Flores-Allen,Government
INS-1XMHVE,Merritt-Flynn,Insurance
INS-NOREG60,"Andrade, Gilbert and Cook",Insurance
INS-3H1T23,Gonzalez Group,Insurance
INS-XM9FVM,"Richard, Floyd and Villanueva",Government
INS-0L9PD2,Martinez-Burnett,Government
INS-NOREG61,,Self-pay
INS-ZJICFM,"Smith, Cole and Rodgers",Insurance
INS-GR3VFV,"Johnson, Mcintyre and Garrett",Government
INS-KPVF8C,Fowler-Smith,Insurance
INS-V4FUTR,Walker-Bates,Insurance
INS-0VEF64,"Thomas, Blake and Harding",Insurance
INS-FE8VSH,"Smith, Cole and Rodgers",Government
INS-NOREG62,,Self-pay
INS-1JW8ZR,Shaw-Jacobs,Government
INS-PV4P7N,Henson Group,Insurance
INS-KKXPSM,Gonzalez Group,Insurance
INS-0K45KC,Martinez-Burnett,Insurance
INS-DKSLTG,"Richard, Floyd and Villanueva",Insurance
INS-1FZREU,"Richard, Floyd and Villanueva",Government
INS-4EG663,Chang Inc,Insurance
INS-39GR0N,Wood Inc,Government
INS-2V0G1W,"Johnson, Mcintyre and Garrett",Government
INS-XPMA3Z,Lee and Sons,Insurance
INS-486H0I,Jackson-Hubbard,Insurance
INS-FWGPB7,Jackson-Hubbard,Government
INS-2FPCD7,Walsh-Thomas,Insurance
INS-3NJH3V,"Anderson, Oconnell and Yates",Government
INS-76HV6H,Brooks-Johnson,Insurance
INS-NOREG63,,Self-pay
INS-NOREG64,,Self-pay
INS-QHDMVO,Martinez-Burnett,Insurance
INS-TUE2B6,Gonzalez Group,Government
INS-33AMM9,Shaw-Jacobs,Government
INS-YGYSVY,"Smith, Cole and Rodgers",Government
INS-NOREG65,Gonzalez Group,Insurance
INS-NOREG66,Brooks-Johnson,Government
INS-HT9ORG,Robbins Ltd,Government
INS-EILLMG,Jackson-Hubbard,Government
INS-NMEJ0Y,Henson Group,Insurance
INS-2NV5S1,"Smith, Cole and Rodgers",Government
INS-JN9DP0,Merritt-Flynn,Insurance
INS-UNTK6W,Merritt-Flynn,Insurance
